Block	Treatment	Replicate	Plant	Gloss	BirdPredated	Time	Notes
1	Pur	12	BRA	1.3	1	2	
1	Bla	10	IVY	5.2	1	2	
1	Gre	4	BRA	0.4	1	2	
1	Blu	4	HOL	15.42	1	2	
1	Blu	18	BRA	0.5	1	2	
1	Pur	19	BRA	1.3	1	2	
1	Irid	15	BRA	1.08	1	2	
1	Bla	16	IVY	6.24	1	2	
1	Pur	2	IVY	6.8	1	2	
1	Pur	9	IVY	3.3	1	2	
1	Bla	17	BRA	1.2	1	2	
1	Pur	6	BRA	1.5	1	2	
1	Pur	1	BRA	0.8	1	2	
1	Pur	18	BRA	0.9	1	2	
1	Stat	12	BRA	1.8	1	2	
1	Bla	8	WHI	2.5	1	2	
1	Bla	11	BRA	1.7	1	2	
1	Blu	3	IVY	6	1	2	
1	Bla	15	BRA	1.4	1	2	
1	Pur	5	BRA	1.2	1	2	
1	Blu	7	BRA	1.3	1	2	
1	Bla	2	IVY	3.56	1	2	
1	Pur	13	IVY	5.9	1	2	
1	Pur	15	BRA	1	1	2	
1	Blu	11	HOL	8.12	1	2	
1	Stat	11	BRA	1.1	1	2	
1	Irid	10	OAK	1.18	1	2	
1	Irid	23	BRA	1.5	1	2	
1	Pur	8	IVY	5.86	1	2	
1	Stat	9	IVY	6.66	1	2	
1	Blu	15	BEE	2.24	1	2	
1	Blu	12	BRA	1.56	0	2	LOST
1	Stat	4	WHI	2.94	0	2	LOST
1	Pur	7	WIL	3.02	0	2	LOST
1	Gre	16	BRA	1.31	0	2	LOST
1	Blu	1	IVY	5.45	0	2	LOST
1	Bla	18	BRA	1.75	0	2	LOST
1	Bla	12	BRA	0.87	0	2	LOST
1	Bla	1	BRA	1.25	0	2	LOST
1	Irid	12	BRA	1.43	0	2	LOST
1	Gre	19	BRA	0.85	0	2	LOST
1	Bla	13	IVY	5.24	0	2	LOST
1	Bla	9	BEE	2.48	1	24	
1	Gre	8	OAK	1.18	0	24	SPIDER
1	Irid	21	BRA	1.56	1	24	
1	Stat	1	HOL	8.48	1	24	
1	Bla	7	IVY	6.66	1	24	
1	Pur	16	HOL	9.16	1	24	
1	Irid	19	IVY	4.7	1	24	
1	Gre	17	IVY	7.18	1	24	
1	Pur	17	HOL	8.5	1	24	
1	Blu	10	BEE	2.32	1	24	
1	Blu	5	HOL	14.48	1	24	
1	Stat	5	BRA	1.6	1	24	
1	Bla	3	IVY	5.6	1	24	
1	Bla	14	IVY	7.44	0	24	SPIDER
1	Blu	16	BRA	1	1	24	
1	Blu	2	BRA	1	1	24	
1	Blu	17	IVY	6.76	1	24	
1	Stat	3	HOL	8.08	1	24	
1	Irid	2	BRA	0.8	1	24	
1	Gre	2	HOL	8.42	0	24	LOST
1	Gre	15	BEE	2.58	1	24	
1	Pur	14	IVY	7.7	1	24	
1	Blu	8	WIL	3.08	0	24	LOST
1	Irid	9	IVY	8.76	1	24	
1	Irid	4	WHI	3.04	0	24	LOST
1	Gre	7	IVY	5.76	0	24	LOST
1	Stat	8	BRA	1.3	0	24	LOST
1	Gre	13	HOL	6.26	0	24	
1	Stat	13	BRA	1.69	0	24	LOST
1	Gre	3	HOL	9.48	0	48	ALIVE
1	Gre	20	IVY	8.28	0	48	ALIVE
1	Stat	14	BRA	0.6	0	48	ALIVE
1	Gre	1	HOL	2.2	0	48	ALIVE
1	Stat	10	BRA	3.2	1	48	
1	Irid	16	IVY	7.54	0	48	ALIVE
1	Gre	11	IVY	1.5	0	48	ALIVE
1	Irid	25	HOL	13.04	0	48	ALIVE
1	Stat	16	IVY	3	0	48	ALIVE
1	Bla	4	IVY	4.4	1	48	
1	Irid	22	BRA	1.1	0	48	ALIVE
1	Gre	21	IVY	9.42	0	48	ALIVE
1	Gre	14	ELM	0.9	1	48	
1	Stat	7	BRA	1.8	0	48	ALIVE
1	Gre	6	WHI	2.78	0	48	ALIVE
1	Stat	17	ELM	1.3	1	48	
1	Pur	11	IVY	10.28	0	48	SPIDER
1	Stat	19	IVY	5.22	0	48	ALIVE
