experiment_day,experiment_id,period,block,pair,plant_weight,survival,hatch,hatch_complete_day,control_hatch
2023/11/29,12h-1-1,12,1,2,0.346,4,4,2023/12/10,OK
2023/11/29,12h-1-2,12,1,4,0.367,4,4,2023/12/10,OK
2023/11/29,12h-1-3,12,1,4,0.325,4,4,2023/12/10,OK
2023/11/30,24h-1-1,24,1,2,0.355,0,0,NA,OK
2023/11/30,24h-1-2,24,1,2,0.316,0,0,NA,OK
2023/11/30,24h-1-3,24,1,4,0.314,0,0,NA,OK
2023/11/30,24h-1-4,24,1,4,0.321,0,0,NA,OK
2023/11/30,24h-1-5,24,1,4,0.319,0,0,NA,OK
2023/12/1,15h-1-1,15,1,2,0.397,0,0,NA,OK
2023/12/1,15h-1-2,15,1,2,0.308,4,4,2023/12/21,OK
2023/12/1,15h-1-3,15,1,3,0.369,4,4,2023/12/10,OK
2023/12/1,15h-1-4,15,1,4,0.339,0,0,NA,OK
2023/12/1,15h-1-5,15,1,4,0.309,4,3,2023/12/22,OK
2023/12/1,0h-1-1,0,1,2,0.385,4,4,2024/12/11,OK
2023/12/1,0h-1-2,0,1,2,0.304,4,4,2023/12/10,OK
2023/12/1,0h-1-3,0,1,4,0.398,4,4,2023/12/21,OK
2023/12/1,0h-1-4,0,1,4,0.369,4,4,2023/12/10,OK
2023/12/2,18h-1-1,18,1,2,0.405,2,1,2023/12/25,OK
2023/12/2,18h-1-2,18,1,2,0.43,3,3,2023/12/25,OK
2023/12/2,18h-1-3,18,1,3,0.346,0,0,NA,OK
2023/12/2,18h-1-4,18,1,3,0.382,0,0,NA,OK
2023/12/2,18h-1-5,18,1,4,0.36,2,2,2023/12/21,OK
2023/12/2,21h-1-1,21,1,2,0.382,0,0,NA,OK
2023/12/2,21h-1-2,21,1,3,0.352,0,0,NA,OK
2023/12/2,21h-1-3,21,1,4,0.41,0,0,NA,OK
2023/12/2,21h-1-4,21,1,4,0.446,0,0,NA,OK
2023/12/3,6h-1-1,6,1,2,0.374,4,4,2023/12/21,OK
2023/12/3,6h-1-2,6,1,2,0.468,4,4,2023/12/13,OK
2023/12/3,6h-1-3,6,1,3,0.365,4,4,2023/12/21,OK
2023/12/3,6h-1-4,6,1,4,0.334,4,4,2023/12/22,OK
2023/12/3,6h-1-5,6,1,4,0.367,4,4,2023/12/21,OK
2023/12/3,0h-2-1,0,2,2,0.365,4,4,2023/12/30,OK
2023/12/3,0h-2-2,0,2,3,0.408,4,4,2023/12/30,OK
2023/12/3,0h-2-3,0,2,4,0.337,4,4,2023/12/21,OK
2023/12/3,0h-2-4,0,2,4,0.459,4,4,2023/12/25,OK
2023/12/11,18h-2-1,18,2,4,0.384,3,2,2023/12/30,OK
2023/12/11,18h-2-2,18,2,4,0.39,4,4,2023/12/30,OK
2023/12/12,18h-3-1,18,3,2,0.395,1,1,2023/12/22,OK
2023/12/12,18h-3-2,18,3,2,0.35,0,0,NA,OK
2023/12/12,18h-3-3,18,3,4,0.387,4,3,2024/1/4,OK
2023/12/12,18h-3-4,18,3,4,0.325,1,1,2024/1/8,OK
2023/12/12,18h-3-5,18,3,4,0.363,2,2,2023/12/22,OK
2023/12/13,24h-2-1,24,2,2,0.381,0,0,NA,OK
2023/12/13,24h-2-2,24,2,3,0.362,0,0,NA,OK
2023/12/13,24h-2-3,24,2,3,0.367,0,0,NA,OK
2023/12/13,24h-2-4,24,2,4,0.364,0,0,NA,OK
2023/12/13,24h-2-5,24,2,4,0.387,0,0,NA,OK
2023/12/22,6h-2-1,6,2,1,0.358,4,4,2024/12/16,OK
2023/12/22,6h-2-2,6,2,4,0.34,4,4,2024/1/10,OK
2023/12/22,6h-2-3,6,2,4,0.405,4,4,2024/1/10,OK
2023/12/22,6h-2-4,6,2,4,0.316,4,4,2024/1/8,OK
2023/12/22,6h-2-5,6,2,4,0.339,4,4,2024/1/18,OK
2023/12/23,21h-2-1,21,2,1,0.432,0,0,NA,OK
2023/12/23,21h-2-2,21,2,2,0.302,0,0,NA,OK
2023/12/23,21h-2-3,21,2,4,0.33,0,0,NA,OK
2023/12/23,21h-2-4,21,2,4,0.396,0,0,NA,OK
2023/12/23,21h-2-5,21,2,4,0.365,0,0,NA,OK
2023/12/26,12h-2-1,12,2,2,0.311,4,4,2024/1/18,NG
2023/12/26,12h-2-2,12,2,3,0.4,4,4,2024/1/12,OK
2023/12/26,12h-2-3,12,2,3,0.338,4,4,2024/12/16,OK
2023/12/26,12h-2-4,12,2,4,0.361,4,4,2024/1/18,OK
2023/12/26,12h-2-5,12,2,4,0.333,4,4,2024/12/27,OK
2024/1/17,15h-2-1,15,2,2,0.372,1,0,NA,OK
2024/1/17,15h-2-2,15,2,2,0.334,0,0,NA,OK
2024/1/17,15h-2-3,15,2,3,0.396,4,4,2024/2/4,OK
2024/1/17,15h-2-4,15,2,4,0.334,2,2,2024/2/12,OK
2024/1/17,15h-2-5,15,2,4,0.398,4,4,2024/2/16,OK
