Source,Year,Island,Country,Habitat,Site Name,LIT Transect length_m,Site_No,Transect
Lamb,2011,Koh Tao,Thailand,Crest,Ao Mao,15,1,1
Lamb,2011,Koh Tao,Thailand,Crest,Ao Mao,15,1,2
Lamb,2011,Koh Tao,Thailand,Crest,Ao Mao,15,1,3
Lamb,2011,Koh Tao,Thailand,Crest,Aow Leuk Bay,15,1,1
Lamb,2011,Koh Tao,Thailand,Crest,Aow Leuk Bay,15,1,2
Lamb,2011,Koh Tao,Thailand,Crest,Aow Leuk Bay,15,1,3
Lamb,2011,Koh Tao,Thailand,Crest,Aow Leuk Bay North control,15,1,1
Lamb,2011,Koh Tao,Thailand,Crest,Aow Leuk Bay North control,15,1,2
Lamb,2011,Koh Tao,Thailand,Crest,Aow Leuk Bay North control,15,1,3
Lamb,2011,Koh Tao,Thailand,Crest,Hin Hgaam,15,1,1
Lamb,2011,Koh Tao,Thailand,Crest,Hin Hgaam,15,1,2
Lamb,2011,Koh Tao,Thailand,Crest,Hin Hgaam,15,1,3
Lamb,2011,Koh Tao,Thailand,Crest,Hin Wong,15,1,1
Lamb,2011,Koh Tao,Thailand,Crest,Hin Wong,15,1,2
Lamb,2011,Koh Tao,Thailand,Crest,Hin Wong,15,1,3
Lamb,2011,Koh Tao,Thailand,Crest,Japanese Gardens,15,1,1
Lamb,2011,Koh Tao,Thailand,Crest,Japanese Gardens,15,1,2
Lamb,2011,Koh Tao,Thailand,Crest,Japanese Gardens,15,1,3
Lamb,2011,Koh Tao,Thailand,Crest,Laem Hin Saam Gon,15,1,1
Lamb,2011,Koh Tao,Thailand,Crest,Laem Hin Saam Gon,15,1,2
Lamb,2011,Koh Tao,Thailand,Crest,Laem Hin Saam Gon,15,1,3
Lamb,2011,Koh Tao,Thailand,Crest,Mango Bay West,15,1,1
Lamb,2011,Koh Tao,Thailand,Crest,Mango Bay West,15,1,2
Lamb,2011,Koh Tao,Thailand,Crest,Mango Bay West,15,1,3
Lamb,2011,Koh Tao,Thailand,Crest,Sairee Beach,15,1,1
Lamb,2011,Koh Tao,Thailand,Crest,Sairee Beach,15,1,2
Lamb,2011,Koh Tao,Thailand,Crest,Sairee Beach,15,1,3
Lamb,2011,Koh Tao,Thailand,Crest,Twins,15,1,1
Lamb,2011,Koh Tao,Thailand,Crest,Twins,15,1,2
Lamb,2011,Koh Tao,Thailand,Crest,Twins,15,1,3
Lamb,2011,"Great Barrier Reef, Townsville Outer Reefs",Australia,Crest,Dip Reef,10,1,1
Lamb,2011,"Great Barrier Reef, Townsville Outer Reefs",Australia,Crest,Dip Reef,10,1,2
Lamb,2011,"Great Barrier Reef, Townsville Outer Reefs",Australia,Crest,Dip Reef,10,1,3
Lamb,2011,"Great Barrier Reef, Townsville Outer Reefs",Australia,Crest,Fork Reef,10,2,1
Lamb,2011,"Great Barrier Reef, Townsville Outer Reefs",Australia,Crest,Fork Reef,10,2,2
Lamb,2011,"Great Barrier Reef, Townsville Outer Reefs",Australia,Crest,Fork Reef,10,2,3
Lamb,2011,"Great Barrier Reef, Townsville Outer Reefs",Australia,Crest,Kelso Reef,15,1,1
Lamb,2011,"Great Barrier Reef, Townsville Outer Reefs",Australia,Crest,Kelso Reef,15,1,2
Lamb,2011,"Great Barrier Reef, Townsville Outer Reefs",Australia,Crest,Kelso Reef,15,1,3
Lamb,2011,"Great Barrier Reef, Townsville Outer Reefs",Australia,Crest,Little Kelso Reef,15,2,1
Lamb,2011,"Great Barrier Reef, Townsville Outer Reefs",Australia,Crest,Little Kelso Reef,15,2,2
Lamb,2011,"Great Barrier Reef, Townsville Outer Reefs",Australia,Crest,Little Kelso Reef,15,2,3
Lamb,2012,"Great Barrier Reef, Cairns Outer Reefs",Australia,Crest,Flynn Reef,10,1,1
Lamb,2012,"Great Barrier Reef, Cairns Outer Reefs",Australia,Crest,Flynn Reef,10,1,2
Lamb,2012,"Great Barrier Reef, Cairns Outer Reefs",Australia,Crest,Flynn Reef,10,1,3
Lamb,2012,"Great Barrier Reef, Cairns Outer Reefs",Australia,Crest,Flynn Reef,10,2,1
Lamb,2012,"Great Barrier Reef, Cairns Outer Reefs",Australia,Crest,Flynn Reef,10,2,2
Lamb,2012,"Great Barrier Reef, Cairns Outer Reefs",Australia,Crest,Hardy Reef,10,3,1
Lamb,2012,"Great Barrier Reef, Cairns Outer Reefs",Australia,Crest,Hardy Reef,10,3,2
Lamb,2012,"Great Barrier Reef, Cairns Outer Reefs",Australia,Crest,Hardy Reef,10,3,3
Lamb,2012,"Great Barrier Reef, Cairns Outer Reefs",Australia,Crest,Moore Reef Control,10,1,1
Lamb,2012,"Great Barrier Reef, Cairns Outer Reefs",Australia,Crest,Moore Reef Control,10,1,2
Lamb,2012,"Great Barrier Reef, Cairns Outer Reefs",Australia,Crest,Moore Reef Control,10,1,3
Lamb,2012,"Great Barrier Reef, Cairns Outer Reefs",Australia,Crest,Moore Reef Great Adventures,10,1,1
Lamb,2012,"Great Barrier Reef, Cairns Outer Reefs",Australia,Crest,Moore Reef Great Adventures,10,1,2
Lamb,2012,"Great Barrier Reef, Cairns Outer Reefs",Australia,Crest,Moore Reef Great Adventures,10,1,3
Lamb,2012,"Great Barrier Reef, Cairns Outer Reefs",Australia,Crest,Norman Reef,10,1,1
Lamb,2012,"Great Barrier Reef, Cairns Outer Reefs",Australia,Crest,Norman Reef,10,1,2
Lamb,2012,"Great Barrier Reef, Cairns Outer Reefs",Australia,Crest,Norman Reef,10,1,3
